"Date","C.N","delta15n","delta13c","POC_ug.L","PN_ug.L","chl_20um","chl_GF.F","chl_3um","phaeo.chla","NO3","PO4","Si","SST","SSS","log10.N2","Rain2Day","WindSp2Day","WindDir2Day","Bacillariophyta","Chlorophyta","Ciliophora","Cryptophyta","Dinoflagellata"
2016-08-22,4.00140992914232,6.3437011645,-19.589555495,658.834902900452,140.130787812217,9.887185501,0.131689811,NA,0.932570749206548,6.259331785,0.933631317,28.593360425,11.43445,28.46025,-3.37405144434199,0,3.16991666666667,213.593979166667,13284810,3500,6500,22750,21000
2016-09-11,5.0322595163318,6.6074119745,-24.63701646,280.42714805,68.787312765,0.145243216,0.728277695,0.2687138515,0.436130401540304,0.5324455705,0.325567635,18.664405375,14.97625,27.5103,-3.02958262460319,0,1.47945833333333,208.381041666667,14000,57750,6760,77000,1910
2016-10-02,4.20311615316395,4.9537559975,-25.816720795,272.651254266667,57.0575594208333,0.295765617,0.931132292,0.6747820175,0.638483389283147,8.09546364,0.956749612,36.506383805,12.68415,28.3613,-3.19337589601327,7.4,0.847395833333333,208.921041666667,NA,NA,NA,NA,NA
2016-10-22,4.11117315692192,6.3145863045,-26.70194037,90.3262984615385,29.1386334192308,0.02472292,0.233575586,0.17300916,0.931384174323336,20.82700995,1.909162269,48.27117289,11.23185,28.83445,-4.30148117855572,22.4,1.61045833333333,174.7875,NA,NA,NA,NA,NA
2016-11-15,NA,NA,-26.481517985,74.7196291388889,NA,0.027253365,0.107241971,0.1117435815,1.73953469080427,23.34965984,1.99508081,51.5583867,NA,NA,NA,19.2,1.83295833333333,182.053333333333,7520,15000,3160,45000,120
2016-11-26,5.50830442584195,9.723932807,-26.804078255,84.8948316875,15.50597491875,0.080456241,0.116699801,0.288701672,0.75926193901103,24.338655375,1.8762918375,53.142530055,9.72485,25.84535,-3.3524902300382,25.8,1.39485416666667,209.456041666667,6800,18000,10800,31500,640
2016-12-03,5.24056409538526,9.0587080015,-26.52937803,78.0877777352941,14.1968550235294,0.0940608,0.1127927295,0.108822768,1.00618274630035,25.201760895,2.013725583,53.85421058,9.1624,26.1869,-3.40502755006322,15.8,2.13079166666667,183.338958333333,7440,24750,2520,24750,1270
2016-12-15,4.20687596763524,7.370606013,-27.40184079,81.6100266111111,14.2058229777778,0.047265116,0.141412166,0.118268694,1.23230889451711,26.45198016,2.504302547,54.77886022,7.52165,26.93545,-3.6582063566673,0,1.01810416666667,275.898083333333,2480,9750,2160,82725,200
2017-01-15,7.33573406309494,8.183447567,-27.669958825,79.8678339411765,12.4062460058824,0.0472887005,0.222714284,0.152762775,0.735513999869091,28.331577105,2.333002215,54.42151348,6.7134,28.11545,-3.53666309216968,0,0.7495625,250.710770833333,7300,23250,2720,103365,910
2017-02-17,8.07404667754989,7.838380566,-26.929164115,92.3627559910256,12.1108176769231,0.063275685,0.073724714,0.0845492885,1.60914257072929,28.56597923,2.232967775,55.773429905,6.66765,28.1833,-3.94872949667741,40.2,1.77602083333333,158.1318125,7140,10990,1760,9057,2515
2017-03-15,4.34447237949652,4.7948773185,-22.55655111,239.666543425,48.774048955,3.0637463805,0.102357851,0.255895751,0.603025742829288,22.451434115,1.8529240165,40.262341435,7.1927,27.8858,-3.80511877254522,35,1.23622916666667,167.155833333333,310348,3140,3312,6239,14144
2017-03-30,4.06439370097057,5.5956494525,-21.164001395,272.811858485714,61.7411998,2.197376102,0.1037519985,0.14824342,0.615402001063828,23.748119375,1.9697269255,38.413603785,NA,NA,NA,33.6,2.16902083333333,144.012208333333,234732,11775,3019,7850,15362
