action,event_pk,rn,date,work_area,organization,survey,sampling_bout,site_id,source,project_specific_id,hakai_id,line_out_depth_range,collected,preserved,analyzed,acidified,volume,lab_technician,filter_portion,pre_weight_mg,post_weight_mg,filter_size_mm,filter_type,analyzing_lab,row_flag,quality_level,comments,quality_log
,133787,2,2016-06-09,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF1681,030,2016-06-09T15:00:07.000Z,2016-06-09T16:00:04.000Z,,,2500,Kate;Rebecca,1,128.9,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,133787,3,2016-06-09,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF1955,030,2016-06-09T15:00:07.000Z,2016-06-09T16:00:04.000Z,,,3000,Kate;Rebecca,1,128.8,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,133787,4,2016-06-09,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF1956,030,2016-06-09T15:00:07.000Z,2016-06-09T16:00:04.000Z,,,1480,Kate;Rebecca,1,126.9,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,136903,1,2016-06-20,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2003,030,2016-06-20T14:41:54.000Z,2016-06-20T15:05:58.000Z,,,5240,Kate;Rebecca;Shayla;Natalie,1,124.8,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,136903,2,2016-06-20,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2007,030,2016-06-20T14:41:54.000Z,2016-06-20T15:05:58.000Z,,,4650,Kate;Rebecca;Shayla;Natalie,1,127.9,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,137722,1,2016-06-30,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2004,030,2016-06-30T15:24:33.000Z,2016-06-30T15:06:45.000Z,,,4800,Kate H;Rebecca;Natalie,1,126.2,,47,,,Collected,Technicianm,,1: 50mL short from 5m2: Metadata checked by RW.
,137722,2,2016-06-30,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2005,030,2016-06-30T15:24:33.000Z,2016-06-30T15:06:45.000Z,,,5000,Kate H;Rebecca;Natalie,1,127.1,,47,,,Collected,Technicianm,,1: 50mL short from 5m2: Metadata checked by RW.
,140831,1,2016-07-11,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF1957,030,2016-07-11T14:44:14.000Z,2016-07-11T20:44:18.000Z,,,3000,Kate H;Rebecca,1,126.9,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,140831,2,2016-07-11,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF1958,030,2016-07-11T14:44:14.000Z,2016-07-11T20:44:18.000Z,,,2000,Kate H;Rebecca,1,125.2,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,140831,3,2016-07-11,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2006,030,2016-07-11T14:44:14.000Z,2016-07-11T20:44:18.000Z,,,2000,Kate H;Rebecca,1,128.6,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,140831,4,2016-07-11,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2147,030,2016-07-11T14:44:14.000Z,2016-07-11T20:44:18.000Z,,,2000,Kate H;Rebecca,1,125.8,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,140831,5,2016-07-11,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2215,030,2016-07-11T14:44:14.000Z,2016-07-11T20:44:18.000Z,,,1000,Kate H;Rebecca,1,128.46,,47,,,Collected,Technicianm,,1: Weight 'before' value added according to data from the inventory. Metadata checked by RW.
,147564,1,2016-07-21,QUADRA,HAKAI,QOMA2;QOMA1,2,QU39,M,,QF2268,030,2016-07-21T15:23:57.000Z,2016-07-21T20:21:29.000Z,,,3000,Kate H;Rebecca;Gina Nickoloff,1,128.7,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,147564,2,2016-07-21,QUADRA,HAKAI,QOMA2;QOMA1,2,QU39,M,,QF2269,030,2016-07-21T15:23:57.000Z,2016-07-21T20:21:29.000Z,,,3000,Kate H;Rebecca;Gina Nickoloff,1,128.9,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,147564,3,2016-07-21,QUADRA,HAKAI,QOMA2;QOMA1,2,QU39,M,,QF2271,030,2016-07-21T15:23:57.000Z,2016-07-21T20:21:29.000Z,,,4000,Kate H;Rebecca;Gina Nickoloff,1,127.1,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,149786,1,2016-08-01,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2270,030,2016-08-01T15:33:59.000Z,2016-08-01T15:20:28.000Z,,,5000,Kate H;Leo;Rebecca,1,128.9,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,149786,2,2016-08-01,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2272,030,2016-08-01T15:33:59.000Z,2016-08-01T15:20:28.000Z,,,5000,Kate H;Leo;Rebecca,1,128.5,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,155420,1,2016-08-11,QUADRA,HAKAI,QOMA1;QOMA2,2,QU39,M,,QF2133,030,2016-08-11T15:25:48.000Z,2016-08-11T15:35:54.000Z,,,5000,,1,129.8,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,155420,2,2016-08-11,QUADRA,HAKAI,QOMA1;QOMA2,2,QU39,M,,QF2134,030,2016-08-11T15:25:48.000Z,2016-08-11T15:35:54.000Z,,,4880,,1,129.6,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,158990,1,2016-08-22,QUADRA,HAKAI,QOMA1;QOMA2,2,QU39,M,,QF2325,030,2016-08-22T15:22:43.000Z,2016-08-22T15:49:49.000Z,,,8000,Kate H;Rebecca,1,128.4,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,158990,2,2016-08-22,QUADRA,HAKAI,QOMA1;QOMA2,2,QU39,M,,QF2326,030,2016-08-22T15:22:43.000Z,2016-08-22T15:49:49.000Z,,,2000,Kate H;Rebecca,1,127.8,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,166063,1,2016-09-01,QUADRA,HAKAI,QOMA1,2,QU39,M,,QF2135,030,2016-09-01T15:01:35.000Z,2016-09-01T15:50:00.000Z,,,5000,katie.pocock;kate.holmes;rebecca.piercey;rachel.walker,1,129.4,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,166063,2,2016-09-01,QUADRA,HAKAI,QOMA1,2,QU39,M,,QF2327,030,2016-09-01T15:01:35.000Z,2016-09-01T15:50:00.000Z,,,4400,katie.pocock;kate.holmes;rebecca.piercey;rachel.walker,1,130.9,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,167122,1,2016-09-11,QUADRA,HAKAI,QOMA2;QOMA1,2,QU39,M,,QF1822,030,2016-09-11T16:00:18.000Z,2016-09-11T16:19:30.000Z,,,5000,Kate H;Rebecca;Rachel Walker,1,129.3,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,167122,2,2016-09-11,QUADRA,HAKAI,QOMA2;QOMA1,2,QU39,M,,QF2369,030,2016-09-11T16:00:18.000Z,2016-09-11T16:19:30.000Z,,,4790,Kate H;Rebecca;Rachel Walker,1,133.2,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,167567,1,2016-09-22,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2328,030,2016-09-22T16:28:18.000Z,2016-09-22T17:08:25.000Z,,,4000,Rebecca;Rachel Walker,1,128.6,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,167567,2,2016-09-22,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2331,030,2016-09-22T16:28:18.000Z,2016-09-22T17:08:25.000Z,,,3000,Rebecca;Rachel Walker,1,127.5,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,167567,3,2016-09-22,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2332,030,2016-09-22T16:28:18.000Z,2016-09-22T17:08:25.000Z,,,3000,Rebecca;Rachel Walker,1,127.1,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,176994,1,2016-10-02,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2371,030,2016-10-02T16:20:28.000Z,2016-10-02T22:10:45.000Z,,,5000,rebecca.piercey,1,130.5,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,176994,2,2016-10-02,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2372,030,2016-10-02T16:20:28.000Z,2016-10-02T22:10:45.000Z,,,5000,rebecca.piercey,1,129,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,177476,1,2016-10-12,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2370,030,2016-10-12T16:44:18.000Z,2016-10-12T17:03:43.000Z,,,5000,rebecca.piercey;rachel.walker,1,133.2,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,177476,2,2016-10-12,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2374,030,2016-10-12T16:44:18.000Z,2016-10-12T17:03:43.000Z,,,1000,rebecca.piercey;rachel.walker,1,131.8,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,177476,3,2016-10-12,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2380,030,2016-10-12T16:44:18.000Z,2016-10-12T17:03:43.000Z,,,4000,rebecca.piercey;rachel.walker,1,130.6,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,179885,1,2016-10-22,QUADRA,HAKAI,QOMA1,2,QU39,M,,QF2381,030,2016-10-22T16:30:52.000Z,2016-10-22T17:00:00.000Z,,,5000,rebecca.piercey;rachel.walker,1,130,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,179885,2,2016-10-22,QUADRA,HAKAI,QOMA1,2,QU39,M,,QF2506,030,2016-10-22T16:30:52.000Z,2016-10-22T17:00:00.000Z,,,4890,rebecca.piercey;rachel.walker,1,127.8,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,184455,1,2016-11-09,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2507,030,2016-11-09T17:15:27.000Z,2016-11-09T17:44:38.000Z,,,8960,kate.lansley;rebecca.piercey;rachel.walker,1,128.2,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,196168,1,2016-11-15,QUADRA,HAKAI,QOMA1,2,QU39,M,,QF2274,030,2016-11-15T17:38:08.000Z,2016-11-15T17:47:09.000Z,,,10000,kate.holmes;rebecca.piercey,1,128.8,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,185074,1,2016-11-26,QUADRA,HAKAI,QOMA1,2,QU39,M,,QF2273,030,2016-11-26T17:52:41.000Z,2016-11-26T18:30:25.000Z,,,5000,rebecca.piercey,1,129.6,,47,,,Collected,Technicianm,,1: Metadata checked by RW.2: No 260m samples on this drop.
,185074,2,2016-11-26,QUADRA,HAKAI,QOMA1,2,QU39,M,,QF2508,030,2016-11-26T17:52:41.000Z,2016-11-26T18:30:25.000Z,,,5000,rebecca.piercey,1,128.6,,47,,,Collected,Technicianm,,1: Metadata checked by RW.2: No 260m samples on this drop.
,185115,1,2016-12-03,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2509,030,2016-12-03T17:37:34.000Z,2016-12-03T17:48:00.000Z,,,5000,kate.holmes;rebecca.piercey;rachel.walker,1,129.3,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,185115,2,2016-12-03,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2510,030,2016-12-03T17:37:34.000Z,2016-12-03T17:48:00.000Z,,,3850,kate.holmes;rebecca.piercey;rachel.walker,1,129.8,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,196178,1,2016-12-15,QUADRA,HAKAI,QOMA2,3,QU39,M,,QF2511,030,2016-12-15T19:07:29.000Z,2016-12-15T23:07:37.000Z,,,5000,kate.lansley;kate.holmes;rachel.walker,1,128.8,,47,,,Collected,Technicianm,,1: Metadata checked by RW.2: Only 1300 mls from 30m
,196178,2,2016-12-15,QUADRA,HAKAI,QOMA2,3,QU39,M,,QF2538,030,2016-12-15T19:07:29.000Z,2016-12-15T23:07:37.000Z,,,4260,kate.lansley;kate.holmes;rachel.walker,1,127.7,,47,,,Collected,Technicianm,,1: Metadata checked by RW.2: Only 1300 mls from 30m
,212717,1,2017-01-08,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2539,030,2017-01-08T18:15:21.000Z,2017-01-08T18:37:20.000Z,,,5000,rebecca.piercey;rachel.walker,1,130.82,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,212717,2,2017-01-08,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2668,030,2017-01-08T18:15:21.000Z,2017-01-08T18:37:20.000Z,,,4910,rebecca.piercey;rachel.walker,1,131.4,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,225854,1,2017-01-15,QUADRA,HAKAI,QOMA2;QOMA1,2,QU39,M,,QF2669,030,2017-01-15T18:01:10.000Z,2017-01-15T19:18:50.000Z,,,5000,rebecca.piercey;rachel.walker;Emma,1,130.7,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,225854,2,2017-01-15,QUADRA,HAKAI,QOMA2;QOMA1,2,QU39,M,,QF2670,030,2017-01-15T18:01:10.000Z,2017-01-15T19:18:50.000Z,,,4920,rebecca.piercey;rachel.walker;Emma,1,131.2,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,239170,1,2017-01-26,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2682,030,2017-01-26T17:09:28.000Z,2017-01-26T17:33:12.000Z,,,5000,rebecca.piercey;Emma Myers,1,131,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,239170,2,2017-01-26,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2683,030,2017-01-26T17:09:28.000Z,2017-01-26T17:33:12.000Z,,,5000,rebecca.piercey;Emma Myers,1,130,,47,,,Collected,Technicianm,,1: Changed sampling bout from 5 to 4; based on HOP field log sheet. Metadata checked by RP.2: Homogenize filters QF2683 QF2637 QF26363: Metadata checked by RW.
,250348,1,2017-02-17,QUADRA,HAKAI,QOMA2,3,QU39,M,,QF2684,030,2017-02-17T17:52:21.000Z,2017-02-17T19:04:21.000Z,,,5000,rebecca.piercey;rachel.walker;Emma Myers;Justin Francis,1,130.7,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,250348,2,2017-02-17,QUADRA,HAKAI,QOMA2,3,QU39,M,,QF2685,030,2017-02-17T17:52:21.000Z,2017-02-17T19:04:21.000Z,,,4750,rebecca.piercey;rachel.walker;Emma Myers;Justin Francis,1,129.9,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,251319,1,2017-02-25,QUADRA,HAKAI,QOMA1,2,QU39,M,,QF2773,030,2017-02-25T17:21:13.000Z,2017-02-25T17:35:20.000Z,,,9900,rebecca.piercey;rachel.walker;Carly,1,130.2,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RW.
,253002,1,2017-03-15,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2745,030,2017-03-15T15:35:54.000Z,2017-03-15T16:06:59.000Z,,,5820,rebecca.piercey;rachel.walker,1,130.8,,47,GF/F,,Collected,Technicianm,,1: 2 extra litres from unknown depths2: Metadata checked by RP.
,253002,2,2017-03-15,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2774,030,2017-03-15T15:35:54.000Z,2017-03-15T16:06:59.000Z,,,6000,rebecca.piercey;rachel.walker,1,129.1,,47,GF/F,,Collected,Technicianm,,1: 2 extra litres from unknown depths2: Metadata checked by RP.
,254563,1,2017-03-30,QUADRA,HAKAI,QOMA1,2,QU39,M,,QF2746,030,2017-03-30T15:26:56.000Z,2017-03-30T15:39:29.000Z,,,5000,kate.holmes;rebecca.piercey;carly.janusson,1,128.9,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.2: Ysi units are ppt
,254563,2,2017-03-30,QUADRA,HAKAI,QOMA1,2,QU39,M,,QF2907,030,2017-03-30T15:26:56.000Z,2017-03-30T15:39:29.000Z,,,5000,kate.holmes;rebecca.piercey;carly.janusson,1,127.7,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.2: Ysi units are ppt
,255130,1,2017-04-07,QUADRA,HAKAI,QOMA4,2,QU39,M,,QF2908,030,2017-04-07T14:48:39.000Z,2017-04-07T15:01:33.000Z,,,6000,kate.lansley;rebecca.piercey,1,128.1,,47,GF/F,,Collected,Technicianm,,1: 3000ml was taken from 20l accidentally2: Metadata checked by RP.
,255130,2,2017-04-07,QUADRA,HAKAI,QOMA4,2,QU39,M,,QF2910,030,2017-04-07T14:48:39.000Z,2017-04-07T15:01:33.000Z,,,5000,kate.lansley;rebecca.piercey,1,127.8,,47,GF/F,,Collected,Technicianm,,1: 3000ml was taken from 20l accidentally2: Metadata checked by RP.
,260845,1,2017-04-11,QUADRA,HAKAI,QOMA3,2,QU39,M,,QF2911,030,2017-04-11T15:04:03.000Z,2017-04-11T15:27:17.000Z,,,5000,kate.lansley;rebecca.piercey,1,128.5,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,260845,2,2017-04-11,QUADRA,HAKAI,QOMA3,2,QU39,M,,QF2951,030,2017-04-11T15:04:03.000Z,2017-04-11T15:27:17.000Z,,,5000,kate.lansley;rebecca.piercey,1,130.3,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,260856,1,2017-04-20,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF2952,030,2017-04-20T14:51:41.000Z,2017-04-20T14:57:51.000Z,,,3450,kate.holmes;rebecca.piercey,1,129.4,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,260856,2,2017-04-20,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF3041,030,2017-04-20T14:51:41.000Z,2017-04-20T14:57:51.000Z,,,3000,kate.holmes;rebecca.piercey,1,130.9,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,260856,3,2017-04-20,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF3042,030,2017-04-20T14:51:41.000Z,2017-04-20T14:57:51.000Z,,,3000,kate.holmes;rebecca.piercey,1,131.5,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,260850,1,2017-04-24,QUADRA,HAKAI,QOMA4,2,QU39,M,,QF3176,030,2017-04-24T14:50:42.000Z,2017-04-24T15:04:46.000Z,,,3500,kate.holmes;rebecca.piercey,1,129.5,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,260850,2,2017-04-24,QUADRA,HAKAI,QOMA4,2,QU39,M,,QF3177,030,2017-04-24T14:50:42.000Z,2017-04-24T15:04:46.000Z,,,3500,kate.holmes;rebecca.piercey,1,129.2,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,260850,3,2017-04-24,QUADRA,HAKAI,QOMA4,2,QU39,M,,QF3178,030,2017-04-24T14:50:42.000Z,2017-04-24T15:04:46.000Z,,,3000,kate.holmes;rebecca.piercey,1,130.6,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,279884,1,2017-05-02,QUADRA,HAKAI,QOMA3,2,QU39,M,,QF3181,030,2017-05-02T14:37:47.000Z,2017-05-02T15:12:44.000Z,,,4000,rebecca.piercey;justin.francis,1,130.1,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.2: YSI was not returned; no salinity or temperature taken today.
,279884,2,2017-05-02,QUADRA,HAKAI,QOMA3,2,QU39,M,,QF3182,030,2017-05-02T14:37:47.000Z,2017-05-02T15:12:44.000Z,,,3000,rebecca.piercey;justin.francis,1,129.6,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.2: YSI was not returned; no salinity or temperature taken today.
,279884,3,2017-05-02,QUADRA,HAKAI,QOMA3,2,QU39,M,,QF3183,030,2017-05-02T14:37:47.000Z,2017-05-02T15:12:44.000Z,,,2770,rebecca.piercey;justin.francis,1,129.6,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.2: YSI was not returned; no salinity or temperature taken today.
,280745,1,2017-05-08,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF3184,030,2017-05-08T15:10:02.000Z,2017-05-08T15:23:20.000Z,,,5000,rebecca.piercey;rachel.walker;julian.gan;justin.francis,1,129.9,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,280745,2,2017-05-08,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF3185,030,2017-05-08T15:10:02.000Z,2017-05-08T15:23:20.000Z,,,4830,rebecca.piercey;rachel.walker;julian.gan;justin.francis,1,131.1,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,293618,1,2017-05-17,QUADRA,HAKAI,QOMA4,2,QU39,M,,QF3186,030,2017-05-17T14:48:57.000Z,2017-05-17T14:49:27.000Z,,,3000,rebecca.piercey;rachel.walker;justin.francis;Brianna and Chris,1,129.4,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,293618,2,2017-05-17,QUADRA,HAKAI,QOMA4,2,QU39,M,,QF3215,030,2017-05-17T14:48:57.000Z,2017-05-17T14:49:27.000Z,,,3000,rebecca.piercey;rachel.walker;justin.francis;Brianna and Chris,1,130.2,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,293618,3,2017-05-17,QUADRA,HAKAI,QOMA4,2,QU39,M,,QF3216,030,2017-05-17T14:48:57.000Z,2017-05-17T14:49:27.000Z,,,2820,rebecca.piercey;rachel.walker;justin.francis;Brianna and Chris,1,131.6,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,294603,1,2017-05-29,QUADRA,HAKAI,QOMA3,2,QU39,M,,QF3258,030,2017-05-29T14:09:09.000Z,2017-05-29T14:43:23.000Z,,,4000,rebecca.piercey;rachel.walker;Brenna;Chris,1,128.5,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,294603,2,2017-05-29,QUADRA,HAKAI,QOMA3,2,QU39,M,,QF3260,030,2017-05-29T14:09:09.000Z,2017-05-29T14:43:23.000Z,,,4800,rebecca.piercey;rachel.walker;Brenna;Chris,1,128.6,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,294600,1,2017-06-05,QUADRA,HAKAI,QOMA4,2,QU39,M,,QF3259,030,2017-06-05T14:18:36.000Z,2017-06-05T14:25:04.000Z,,,4000,rebecca.piercey;rachel.walker;justin.francis;brianna.knowles;chris.mackenzie,1,128.6,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,294600,2,2017-06-05,QUADRA,HAKAI,QOMA4,2,QU39,M,,QF3337,030,2017-06-05T14:18:36.000Z,2017-06-05T14:25:04.000Z,,,4000,rebecca.piercey;rachel.walker;justin.francis;brianna.knowles;chris.mackenzie,1,129.7,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,294600,3,2017-06-05,QUADRA,HAKAI,QOMA4,2,QU39,M,,QF3338,030,2017-06-05T14:18:36.000Z,2017-06-05T14:25:04.000Z,,,1840,rebecca.piercey;rachel.walker;justin.francis;brianna.knowles;chris.mackenzie,1,129.5,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,296416,1,2017-06-12,QUADRA,HAKAI,QOMA3,2,QU39,M,,QF3342,030,2017-06-12T14:27:30.000Z,2017-06-12T14:40:03.000Z,,,5000,rebecca.piercey;justin.francis;brianna.knowles;chris.mackenzie,1,129.6,,47,GF/F,,Collected,Technicianm,,1: 10m niskin did not trigger on drop 2 so it was redone on drop 5; so this sample wqas taken on two separate drops. One filter (QF3342) has Drop 2 metadata and the other (QF3343) has drop 5 metadata. Metadata checked by RP.
,296419,1,2017-06-12,QUADRA,HAKAI,QOMA3,5,QU39,M,,QF3343,030,2017-06-12T14:46:33.000Z,2017-06-12T20:23:18.000Z,,,5000,rebecca.piercey;justin.francis;brianna.knowles;chris.mackenzie,1,127.9,,47,GF/F,,Collected,Technicianm,,1: 10m niskin did not trigger on drop 2 so it was redone on drop 5; so this sample wqas taken on two separate drops. One filter (QF3342) has Drop 2 metadata and the other (QF3343) has drop 5 metadata. Metadata checked by RP.2: Only for 10m niskin from drop 2 (POM FA).
,304012,1,2017-06-19,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF3341,030,2017-06-19T14:15:04.000Z,2017-06-19T14:25:31.000Z,,,4900,rebecca.piercey;justin.francis;brenna.collicutt,1,129.5,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,304012,2,2017-06-19,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF3411,030,2017-06-19T14:15:04.000Z,2017-06-19T14:25:31.000Z,,,5000,rebecca.piercey;justin.francis;brenna.collicutt,1,132.9,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,307347,1,2017-06-29,QUADRA,HAKAI,QOMA3,2,QU39,M,,QF3444,030,2017-06-29T14:04:17.000Z,2017-06-29T14:04:35.000Z,,,10000,kate.lansley;rebecca.piercey;justin.francis;chris.mackenzie,1,130.2,,47,GF/F,,Collected,Technicianm,,1: Metadata checked by RP.
,308985,1,2017-07-07,QUADRA,HAKAI,QOMA4,2,QU39,M,,QF3571,030,2017-07-07T13:35:57.000Z,2017-07-07T13:49:45.000Z,,,5000,rebecca.piercey;rachel.walker;justin.francis;brianna.knowles;chris.mackenzie,1,130.9,,47,GF/G,,Collected,Technicianm,,1: Metadata checked by RP.2: preweights by BK
,308985,2,2017-07-07,QUADRA,HAKAI,QOMA4,2,QU39,M,,QF3572,030,2017-07-07T13:35:57.000Z,2017-07-07T13:49:45.000Z,,,5000,rebecca.piercey;rachel.walker;justin.francis;brianna.knowles;chris.mackenzie,1,131.5,,47,GF/G,,Collected,Technicianm,,1: Metadata checked by RP.2: preweights by BK
,310951,1,2017-07-11,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF3536,030,2017-07-11T14:41:40.000Z,2017-07-11T14:54:34.000Z,,,5000,rachel.walker;chris.mackenzie,1,129.6,,47,,,Collected,Technicianm,,1: Metadata checked by RP.2: Prewights taken by JF.
,310951,2,2017-07-11,QUADRA,HAKAI,QOMA2,2,QU39,M,,QF3537,030,2017-07-11T14:41:40.000Z,2017-07-11T14:54:34.000Z,,,4910,rachel.walker;chris.mackenzie,1,130.2,,47,,,Collected,Technicianm,,1: Metadata checked by RP.2: Prewights taken by JF.
,311710,1,2017-07-17,QUADRA,HAKAI,QOMA3,2,QU39,M,,QF3542,030,2017-07-17T14:52:09.000Z,2017-07-17T15:03:17.000Z,,,5000,rebecca.piercey;rachel.walker;brianna.knowles;chris.mackenzie,1,129.8,,47,,,Collected,Technicianm,,1: Did not collect POM; POP; or chlorophyll on this drop. Were done on drop 5.2: Metadata checked by RP.3: Prewights taken by JF.
,311710,2,2017-07-17,QUADRA,HAKAI,QOMA3,2,QU39,M,,QF3543,030,2017-07-17T14:52:09.000Z,2017-07-17T15:03:17.000Z,,,4800,rebecca.piercey;rachel.walker;brianna.knowles;chris.mackenzie,1,130.3,,47,,,Collected,Technicianm,,1: Did not collect POM; POP; or chlorophyll on this drop. Were done on drop 5.2: Metadata checked by RP.3: Prewights taken by JF.
,312627,1,2017-07-24,QUADRA,HAKAI,QOMA1,2,QU39,M,,QF3544,030,2017-07-24T15:41:38.000Z,2017-07-24T18:44:58.000Z,,,5000,kate.lansley;brianna.knowles,1,130.4,,47,,,Collected,Technicianm,,1: Metadata checked by RP.2: No 260m nutrients collected3: Prewights taken by JF.
,312627,2,2017-07-24,QUADRA,HAKAI,QOMA1,2,QU39,M,,QF3545,030,2017-07-24T15:41:38.000Z,2017-07-24T18:44:58.000Z,,,4620,kate.lansley;brianna.knowles,1,131.1,,47,,,Collected,Technicianm,,1: Metadata checked by RP.2: No 260m nutrients collected3: Prewights taken by JF.
